location	imp=0.031868	delta=0.202282	score=0.006446
millennium	imp=0.008390	delta=0.447514	score=0.003755
are	imp=0.016997	delta=0.190211	score=0.003233
mine	imp=0.006711	delta=0.465990	score=0.003127
queens	imp=0.006083	delta=0.468431	score=0.002849
conference	imp=0.005881	delta=0.472043	score=0.002776
coffee	imp=0.006998	delta=0.316684	score=0.002216
open	imp=0.008801	delta=0.243785	score=0.002146
walk	imp=0.005511	delta=0.362303	score=0.001997
arrive	imp=0.007148	delta=0.239053	score=0.001709
elevators	imp=0.009550	delta=0.178739	score=0.001707
ambassador	imp=0.005321	delta=0.280834	score=0.001494
tiny	imp=0.004098	delta=0.340618	score=0.001396
grease	imp=0.002930	delta=0.472043	score=0.001383
is	imp=0.014080	delta=0.093521	score=0.001317
frequently	imp=0.002790	delta=0.472043	score=0.001317
resturant	imp=0.002641	delta=0.472043	score=0.001247
east	imp=0.002542	delta=0.472043	score=0.001200
security	imp=0.002478	delta=0.458401	score=0.001136
suites	imp=0.004495	delta=0.236697	score=0.001064
condescending	imp=0.002211	delta=0.472043	score=0.001044
car	imp=0.002262	delta=0.457077	score=0.001034
rate	imp=0.005775	delta=0.170223	score=0.000983
elevator	imp=0.004987	delta=0.195927	score=0.000977
main	imp=0.003647	delta=0.248681	score=0.000907
close	imp=0.004915	delta=0.181718	score=0.000893
sofitel	imp=0.001785	delta=0.472043	score=0.000842
comfortable	imp=0.004943	delta=0.156290	score=0.000773
same	imp=0.005193	delta=0.147021	score=0.000763
michigan	imp=0.002688	delta=0.276749	score=0.000744
told	imp=0.004988	delta=0.147948	score=0.000738
charging	imp=0.002237	delta=0.322607	score=0.000722
facing	imp=0.001375	delta=0.472043	score=0.000649
flipped	imp=0.001341	delta=0.472043	score=0.000633
attending	imp=0.001322	delta=0.472043	score=0.000624
homewood	imp=0.001280	delta=0.472043	score=0.000604
no	imp=0.006162	delta=0.096292	score=0.000593
dated	imp=0.002023	delta=0.277743	score=0.000562
many	imp=0.009439	delta=0.059230	score=0.000559
pay	imp=0.002792	delta=0.194048	score=0.000542
self	imp=0.001155	delta=0.459242	score=0.000530
star	imp=0.013366	delta=0.037625	score=0.000503
carrying	imp=0.001063	delta=0.472043	score=0.000502
disappointing	imp=0.001666	delta=0.294211	score=0.000490
drive	imp=0.001035	delta=0.472043	score=0.000488
directly	imp=0.001659	delta=0.262965	score=0.000436
garish	imp=0.001478	delta=0.295030	score=0.000436
for	imp=0.018162	delta=0.023675	score=0.000430
construction	imp=0.008239	delta=0.052073	score=0.000429
relatively	imp=0.001098	delta=0.371623	score=0.000408
