top_deceptive_terms,coef_for_deceptive,top_truthful_terms,coef_for_truthful
conditioning did,3.6443893252040085,big dead,-4.059823192994604
curtains closed,3.4375833872111263,dark,-3.1040358729357047
cranky tired,3.3027860949130248,did new,-3.090298819559121
comfortable beds,2.931795897962799,corporate office,-3.0773134215691007
desk manager,2.871556918069201,definite trip,-2.9253799796618867
detours,2.7254174006751173,closed construction,-2.760679882254016
dates read,2.7054856743592204,delights fun,-2.597188680317032
coffee pot,2.667274824295715,deactivated,-2.4273816476797063
confidence,2.618834588264812,better terms,-2.3166001758355494
day walls,2.5476654111649366,computer internet,-2.3061534606773444
conference executive,2.5273531067684742,close distance,-2.299874042894568
customers problem,2.5184025502977034,conference town,-2.287018469420558
deskperson,2.3879464846122733,designed clashing,-2.2234695556039368
departing flight,2.339651931358141,daily fee,-2.0555063915325227
cook,2.313700657690591,daytime spoke,-2.02263412918533
correct,2.293078731335892,did refill,-1.9735811344924945
critters lurking,2.2523768463230933,cracks walls,-1.8999523251771178
curtly,2.1242921676776043,beware,-1.8967325964592663
coffee hot,2.112039517087797,deodorant,-1.8915789455208614
did appear,2.0942231989609383,carpet clean,-1.8751822410851233
chicago line,2.008107031058869,coming carpet,-1.8231249751163094
decade,2.007595808256896,desk issues,-1.763587637923324
charge 200,1.942485444232407,close groud,-1.7374852317318172
compensation real,1.8801455562621847,control room,-1.6803419034223033
complimentary services,1.8687464337370099,brought attention,-1.6415183741287627
