top_deceptive_terms,coef_for_deceptive,top_truthful_terms,coef_for_truthful
mr,3.737728615377647,ruled,-3.3539907912606437
parts,3.3932420047085294,portrayed,-3.160515563925097
centers,3.267218005775236,lake,-3.0989232533530506
splashed,3.2498371193700843,claustrophobic,-2.8806509258396846
pettiness,3.167861277379475,sightseeing,-2.761823247502043
lasted,2.9808962683590328,thd,-2.7414868735434723
partner,2.786139145156554,activity,-2.5053893483591083
corporations,2.465163735995477,colada,-2.37992925859395
persistently,2.3960454533189077,scoot,-2.2461211103844003
carbide,2.3365327859964493,mosr,-2.2079392693595534
ensconced,2.335087236053005,charming,-2.1555811328315118
styx,2.325955646848211,individuals,-2.1469502897723065
obtain,2.1698322034908335,surrounded,-2.037363181870882
simply,2.1638881062640634,rail,-2.0055799550353286
sale,1.9859218062832358,ones,-2.0020869349345283
requesting,1.980087966833201,fifteenth,-1.8852579500167974
phantom,1.8847331804109904,dumbbells,-1.8601837002305264
remodel,1.8739133272979607,thirty,-1.7951472117936769
sell,1.7733105289057414,inquiring,-1.7860155831047126
printed,1.7573277576393478,smoked,-1.7769760258386231
ipod,1.7267585445556644,telling,-1.7119983923664623
interrupting,1.7164723613320467,extremely,-1.6076457372616355
theft,1.6749287231840455,called,-1.5992395731276032
gigantic,1.6599520419162113,brand,-1.5287766730986247
talbott,1.6350335259436017,dishonest,-1.51656790736678
