top_deceptive_terms,coef_for_deceptive,top_truthful_terms,coef_for_truthful
certainly wasn,38.71551000966441,rude assured,-22.106712863158577
staff lost,22.384232089005764,better choices,-19.231791696716083
gray chunk,21.96364075601539,come flipped,-15.010519169405326
lighting normally,20.44690310895824,level respect,-13.698743162273797
corrected finally,19.97388039926916,interrupting,-13.688824008221854
kid remnants,19.836221191304116,disappointment housekeeping,-13.471189899353183
knock,17.58206853077988,pleasing,-12.52659691258551
penny normally,17.11327942972853,near ve,-12.354035993013206
obviously don,17.031085122644694,photos hotel,-11.300317760273705
establishment lost,15.499420750926193,expectations arrived,-10.936590110739225
park told,14.789489190302405,company expense,-10.739519141657478
good ordered,14.030904361645653,clothes wastebasket,-10.657996424652431
road,13.847912049620172,children,-10.210440867548503
cheese,13.612873100966368,overall decent,-10.189581136631286
taxi cost,13.131313278767298,receipt finally,-10.15478330250887
park horrible,13.068797244776821,suites chicago,-10.092603807315033
dirty looked,12.310792865747596,small better,-10.087046587581574
rise construction,11.744866847424229,breaking,-9.995105181026002
staying wedding,11.578007324146736,clogged,-9.473669487696762
drink hotel,11.352143177614858,spot hotel,-9.422270319971435
chicago checking,11.125253674415843,disappointed stay,-9.37993107577701
payment absolute,11.013874653931634,car 10,-9.334789286505096
shower rail,10.100727402808433,block starbucks,-9.059760526092896
floor noticed,9.309348198311985,seat covered,-8.744578973419081
quaint,9.262395951645004,told desk,-8.31693197370948
