top_deceptive_terms,coef_for_deceptive,top_truthful_terms,coef_for_truthful
atleast,31.0521021138361,hand,-17.38801965271077
dog,16.51340620473087,flushings,-13.153676688023578
impressions,15.205245709099003,bedrooms,-11.46189091118419
bonus,14.863119881193516,cavernous,-10.255523527575363
feet,14.33476790311451,facilities,-10.182907242791428
exquisite,13.898721818649618,award,-10.010018821354043
gravitate,13.18424694262216,dimed,-9.965680796875473
discount,13.056491676401834,july,-9.816170942803634
avalible,12.996149783623821,bellhop,-9.410801759457986
closed,12.437357283731593,basics,-9.380873334878352
finest,12.30346437800912,hawks,-9.186195409434715
irritation,12.21450130950427,espn,-8.932064570927759
automated,11.13108808838953,doc,-8.901423306219016
helicopter,10.626915682572351,future,-8.38248808836167
fees,10.543144395246987,bathroom,-8.092261499752192
filthy,10.201370076036053,interrupted,-7.962442864657158
insist,10.018153015871631,airline,-7.84453499582215
disappear,9.666487190704313,flaw,-7.798718615334202
choices,8.659982253478981,cold,-7.704140992603356
foyer,8.38221519119334,gigantic,-7.675565462135517
horrendous,8.077628118309962,humming,-7.644387477799316
aveda,8.049750647775793,favor,-7.598101257392752
book,8.044723794504833,honoring,-7.423926411627489
happening,7.489862956939385,impressed,-7.411735473035766
entertainment,7.462712694672203,devices,-7.261061933121966
