feature,importance
chicago,0.04506359331231024
location,0.018664465562906848
hotel chicago,0.014228558042245645
luxury,0.01073210052312968
smell,0.01003305002760542
decided,0.008685789134779829
chicago hotel,0.007701121577542285
recently,0.007471570811059423
open,0.006846140582416863
finally,0.006647749238155453
millennium,0.006512278233179313
experience,0.006494917958843251
great,0.006372896801739889
hotel,0.006319825948642855
rude,0.006267394225726831
cleaned,0.006064322071175978
smelled,0.005881634120644565
elevators,0.005702117260472497
like,0.005693872406981264
arrived,0.005654529991978666
floor,0.0054501338491145124
room,0.0054359910591224815
recently stayed,0.005274716274849194
star,0.00494177850782343
turned,0.004537553187517266
day,0.004515354940552233
called,0.003867683442656156
service,0.00385249065442773
wait,0.0038478752348047704
elevator,0.003764646445216567
