feature,importance
chicago,0.03373570358495308
hotel chicago,0.011172010151243342
location,0.010479198361608448
luxury,0.009166890107014271
smell,0.009134644026828455
recently,0.008019740111010766
great,0.008001245049094809
rude,0.007860866502189567
millennium,0.007730836550765644
elevators,0.007485516836715673
decided,0.0070562695562074555
chicago hotel,0.006628525280093307
experience,0.006553453054939802
open,0.006152112522300334
finally,0.005803443144322589
hotel,0.0057625557704084705
arrived,0.005345162376980884
recently stayed,0.005193838156842489
star,0.005078641112267855
elevator,0.004892459120075187
food,0.004650316104086032
cleaned,0.0044198691853950065
construction,0.004354015118058099
luxury hotel,0.004307700021702966
floor,0.003910121997805556
chicago millennium,0.0038552941516681637
like,0.00364397700397517
day,0.0036075659104166033
knickerbocker hotel,0.003543344792524086
wait,0.00347612518929476
