feature,importance
chicago,0.04106593510231656
location,0.014994611544607949
smell,0.010230370959991374
decided,0.008557979727504725
luxury,0.008138614195371707
millennium,0.007989766306593052
recently,0.007802414298867901
great,0.007205369811444381
hotel,0.007053630854981043
experience,0.006695759285735246
elevators,0.005789159423928863
room,0.00568806009586284
finally,0.005343865720941621
rude,0.00533890852483258
open,0.005232908796772294
floor,0.004915166466680755
cleaned,0.004854734093892298
star,0.004664932358538294
like,0.0042060255715162045
day,0.004168189769734062
smelled,0.004155420802053535
arrived,0.004002894716477263
comfortable,0.003991095462539962
elevator,0.0038726906630255687
wait,0.003754801782292908
website,0.0035590026582695707
called,0.003525328049050065
towels,0.0034199233012003278
turned,0.0034117930724943137
service,0.003342306649316915
