feature,importance
chicago,0.017986139243300163
location,0.01018049425294183
smell,0.008323294105498303
finally,0.007132896158588715
great,0.006626959829710528
recently,0.0064842615312694285
luxury,0.0061674188431524776
decided,0.006097152610521246
open,0.005566731648039482
experience,0.00516587273655921
elevators,0.004797524568528073
millennium,0.004749146968991367
smelled,0.004615050172141684
star,0.004550903426997585
wait,0.004525048870311686
room,0.004457830205548193
windows,0.004363696587787446
rude,0.004356932566300652
website,0.003974030668582195
25,0.003885803652979715
comfortable,0.003814129386565003
hotel,0.0037244571475749397
cleaned,0.0036824440348442256
prior,0.0036224289745316832
arrived,0.003614866068619048
low,0.0035317605487317177
relax,0.0034320741960399558
turned,0.0034154429483856472
make,0.0033001606343014958
walked,0.003298491924121329
