feature,importance
chicago,0.22559652408019637
decided,0.03699850348500786
sheets,0.03381218779055738
cool,0.02604105677439243
finally,0.022192570786698326
east,0.021413481779070185
rate,0.02048171194341107
city,0.02026575049795313
river,0.020139929529715935
arrived room,0.018976942100931912
disappointed stay,0.018354747277950598
hotel,0.018268955563810415
turned,0.017762658656081235
weekend,0.016112671408897626
properties,0.015848050290494294
people,0.015684901371493285
expected,0.015674323747553228
tried room,0.01527394325695626
pool,0.015238509894706109
did,0.015215467631715489
day,0.014665911549836697
hear,0.01460449045453911
pay,0.01450250056861585
try,0.014120363699140054
guests,0.014003443767011245
returned,0.0136599170567768
helpful,0.013102351041026658
good,0.012843338796059256
directly,0.01241214333894178
upcoming,0.011811690570052399
looks,0.0118099164175981
hotels chicago,0.011702878005287961
recommend hotel,0.011582802640336645
star,0.011510755778458708
night reservation,0.01122117701673644
hold,0.01105271811610531
desk,0.010999433662377517
paris,0.010942390010109508
reservation,0.010820842910872324
line,0.010581989421257433
stay hotel,0.010463129095636875
second,0.01038878580995738
nice,0.00959120167100047
didn,0.00959120167100047
comfortable,0.007864367452936233
smelled like,0.007784956931378353
great,0.006850858336428906
demanded,0.006361676912067967
kept night,0.0062974175493198305
paper heard,0.006234126920683512
