top_deceptive_terms,top_truthful_terms
chicago,location
finally,great
experience,floor
hotel chicago,day
decided,open
arrived,star
rude,elevators
like,comfortable
smell,elevator
recently,lobby
chicago hotel,old
luxury,small
make,told
smelled,need
wait,coffee
took,tiny
staying,walk
cleaned,construction
hotel,charge
millennium,windows
room,bar
website,door
food,street
hour,reviews
went,michigan
clerk,times
recently stayed,try
towels,rate
recommend,travel
check,shower
stay,phone
hours,helpful
expected,line
smoke,come
walked,close
money,cool
desk,booked hotel
sheets,prior
ready,security
turned,use
available,ve
place,broken
got room,great location
suites,low
looked,priceline
smoking,don
cleaning,water
room ready,guests
finally got,problem
non smoking,conference
