feature,importance
chicago,0.274672344424575
decided,0.041563043440923035
turned,0.03761909392664867
arrived,0.034687652234823445
east,0.03455164297319282
cleanliness,0.034522243352640467
bed,0.031344921790167714
cool,0.027995322999256618
michigan,0.02681658267304681
hotel,0.026815381883185933
bathroom,0.02369939375006102
line,0.023149825548779385
neighbors,0.022673078349916744
cigarette,0.021715060954849735
property,0.0213016733716709
good,0.01962920868305801
people,0.019586719578468307
cleaned,0.018957195409060476
phone,0.018244988322990516
disappointed,0.01809074908473516
try,0.01790560733982306
going,0.017562967510278835
hotels,0.017084338055118956
family,0.016684827380599364
pay,0.01587093336203335
location,0.01419314238425267
did,0.013364319783868997
star,0.013208738249428482
fresh,0.01146359657376143
slow,0.009538859681417603
coffee,0.009019100592097337
used,0.008720033368955236
came,0.00871475421227629
just,0.0084416729213529
way,0.008071217783679701
room,0.007380434039811392
mistake,0.006226767518160469
weekend,0.00591697808939628
expect,0.005629746143309068
great,0.004393115499887732
service,0.0015971619911634104
time,0.001375564767276671
