top_deceptive_terms,top_truthful_terms
chicago,location
finally,great
experience,floor
decided,day
arrived,open
rude,elevators
like,star
smell,comfortable
recently,elevator
luxury,lobby
make,old
smelled,small
wait,told
took,need
staying,coffee
cleaned,tiny
hotel,walk
millennium,construction
room,charge
website,windows
food,bar
hour,door
went,reviews
clerk,street
towels,michigan
recommend,times
check,rate
stay,try
hours,travel
expected,shower
smoke,phone
walked,come
money,helpful
desk,line
sheets,close
ready,security
turned,prior
available,cool
place,use
suites,broken
looked,ve
smoking,low
cleaning,priceline
say,don
minutes,water
wrong,guests
downtown,second
looking,problem
checked,conference
got,years
